"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0,55588.028652897,10293.7591817816,33829.2809148361,317262.929335644,233625.478240458,11771.5611795754,5753.43965292032,320079.064179424,315162.106179912,337508.515901013,270884.496772301,194817.109391795,344328.491448427,21114.9600726916,21159.4597625402,23376.2973561189,28479.0404902514,195119.392843012,132827.103366946
"2",55588.028652897,0,48511.9627208854,38452.3218333878,265285.651239466,185268.360423209,64850.6087650322,59572.2212320611,268236.109326767,263561.641997066,283814.367357842,218477.08814772,141584.185415168,290802.381569748,74971.2129603774,74524.2912483452,77302.0247577234,81992.3950594436,143006.209028297,86456.6781464731
"3",10293.7591817816,48511.9627208854,0,23535.7191731559,312481.01841752,223779.731893895,22064.6750860887,16029.0172176311,315355.648399923,310536.462972932,328530.856217259,265886.722582431,185825.916583676,335294.642847092,31164.9357204001,31312.1218125501,33365.3920940887,38492.9051061871,185863.633978398,122989.764861839
"4",33829.2809148361,38452.3218333878,23535.7191731559,0,302741.590414218,201495.197808328,45599.0078485302,39560.9567105667,305747.004262647,301179.318655317,308406.141981303,255812.610360631,165936.506918482,315020.92501518,54468.1658384422,54709.731945196,56594.9090654088,61713.4580965898,165252.114895369,100906.428303143
"5",317262.929335644,265285.651239466,312481.01841752,302741.590414218,0,224071.90388251,323201.558149267,319538.151024625,3492.84850110578,5723.72525682327,184900.720135694,47004.9382932967,187208.961764508,191038.688887645,332209.13049639,331281.89449744,334271.659690667,337706.732624253,197033.245161512,242343.689628354
"6",233625.478240458,185268.360423209,223779.731893895,201495.197808328,224071.90388251,0,244977.73188094,238959.255423489,227502.31621034,226583.600201403,119958.429822062,189701.716838907,58550.1899365863,124742.864810932,254734.898777845,254710.466715077,257001.695146083,262100.7759711,50285.1027728953,100799.222630243
"7",11771.5611795754,64850.6087650322,22064.6750860887,45599.0078485302,323201.558149267,244977.73188094,0,6091.49750978759,325950.835906664,320931.375040032,347947.652981917,277110.299453004,205329.390093244,354824.995264041,10138.9739734531,9837.95592740451,12476.1963973842,17354.5633676111,205896.634308646,144200.732552168
"8",5753.43965292032,59572.2212320611,16029.0172176311,39560.9567105667,319538.151024625,238959.255423489,6091.49750978759,0,322319.695259714,317348.606158678,342262.823488925,273303.655742074,199608.505538575,349117.526044894,15873.8753701409,15757.8810451495,18191.5456907178,23212.8011045955,200074.474738446,138173.055445902
"9",320079.064179424,268236.109326767,315355.648399923,305747.004262647,3492.84850110578,227502.31621034,325950.835906664,322319.695259714,0,5915.26498283957,187458.758397894,50120.9518000946,190700.079447818,193535.361332058,334927.447532665,333993.780863046,336982.701272149,340392.652810807,200525.873213543,245739.507809392
"10",315162.106179912,263561.641997066,310536.462972932,301179.318655317,5723.72525682327,226583.600201403,320931.375040032,317348.606158678,5915.26498283957,0,189764.556227226,46019.8840883657,188542.170387378,195975.975877921,329863.097678277,328920.543203288,331908.078041585,335283.568663402,198475.458415201,242491.818310548
