Station,Date,Wind Spd (mph),Temp (°F),Daily Max Temp (°F),Max RH (%),Soil Moist (%),Soil Temp (°F)
GLS7600-Walden,12/31/24,0.2,27,37,96,30,32.9
TAH7300-DL Bliss,12/31/24,1,31.6,39.1,89,5.5,32.8
MUL1296-Woodfords,12/31/24,1.9,30.7,43.9,80,2.1,39.5
TPZ1261–Park Ranch,12/31/24,2.1,32.5,42.7,88,6.6,39.5
POR31-Iron Horse,12/31/24,0.4,29.5,39.6,98,42.9,35.8
619Line-Sierra Valley West,12/31/24,1.5,31.3,38.8,93,,58.9
SQV8200-Squaw Valley,12/31/24,1.4,25.6,40,92,30.5,32.4
CEM41-Garbage Pit Rd,12/31/24,3.1,31.2,38.2,90,6.3,41.1
CAL204-Dog Valley,12/31/24,1,30.6,38.2,93,16.2,37.6
TRK7203-Northstar Golf Course,12/31/24,1.5,28.2,41.4,94,42.1,34.8
Hobart Sub,12/31/24,0.6,29,41.2,99,18.7,34.3
SRB51-Smithneck Rd,12/31/24,3.6,30.6,37,88,49.8,42.3
Muller1296-Emigrant Trail,12/31/24,4.3,30.8,39.6,82,9.5,32.4
STL3101 Ledge Ct.,12/31/24,1.7,31,39.1,70,4.8,34.7
TAH7300-Homewood,12/31/24,0.1,27.8,38.9,95,11.1,32.7
7400-Glenshire,12/31/24,1.1,27.3,40.8,95,4.8,35.2
MEY3300-Grass Lake Road,12/31/24,1,27,42.8,88,10.6,32.8
WSH201-Floriston,12/31/24,1.2,29,42.5,92,14.8,35.1
Washoe204-Fariad,12/31/24,2.8,30.1,39.8,94,27.3,36.6
MEY3400-Camp Richardson,12/31/24,1.2,29.1,39.4,95,8.8,34.5
MEY3500-STPD Office,12/31/24,0.5,28,43,94,12.4,37.1
621Line-I-80 Gravel Pit,12/31/24,1.6,29.5,42.7,95,5.1,36.2
7201-Alpine Meadows,12/31/24,0.5,26,39.4,96,21.1,32.9
MUL1296-Markleeville,12/31/24,0.3,29.1,42,93,9,37.6
TPZ1261-Eastside Lane,12/31/24,4.3,31.9,45.3,75,6.1,40.2
MEY3300-Tolteca,12/31/24,2.2,30.9,40.9,74,,
TAH-5201 Lake Forest,12/31/24,0.7,28.4,40,93,19.4,33.1
Tahoe-7300 Sugar Pine Point,12/31/24,0.6,29.4,40,90,17.3,33.2
SOK-257 Reno Park,12/31/24,3.3,31.7,39.7,87,8.3,37.3
SMP8700-Firecamp,12/31/24,0.4,28.4,40.4,94,,
TAH5201-Fairway,12/31/24,1.1,27.8,38.8,93,,
TPZ1261 Cunningham,12/31/24,1.9,29.4,41,89,,
MUL1296-Sorensens,12/31/24,2.5,23.2,41.9,90,,
POR32 4th Avenue,12/31/24,0.9,30.4,40.5,96,25.4,38.7
GLS7600-Walden,12/30/24,0.2,25.8,31.4,95,32.9,32.7
TAH7300-DL Bliss,12/30/24,1.2,29.5,32.4,88,5.7,32.8
MUL1296-Woodfords,12/30/24,1.7,31.8,40.4,86,2.2,40.5
TPZ1261–Park Ranch,12/30/24,3.4,35.5,43.1,86,6.6,41.1
POR31-Iron Horse,12/30/24,0.7,31.4,38.4,98,44.6,37
619Line-Sierra Valley West,12/30/24,2.8,33.2,38.9,96,,58.9
SQV8200-Squaw Valley,12/30/24,0.6,28.2,35.1,96,35.9,32.3
CEM41-Garbage Pit Rd,12/30/24,3.3,33.1,39.4,90,6.4,41.8
CAL204-Dog Valley,12/30/24,1.6,33.2,38.7,89,20.8,38.9
TRK7203-Northstar Golf Course,12/30/24,1.1,26.9,34.8,95,44.3,35.6
Hobart Sub,12/30/24,0.2,27.6,36.9,99,19.6,34.6
SRB51-Smithneck Rd,12/30/24,3.4,31.9,39.3,90,49.6,43.1
Muller1296-Emigrant Trail,12/30/24,4.4,32.2,37.5,83,12.6,33.9
STL3101 Ledge Ct.,12/30/24,1,28.7,33.2,85,5.2,35
TAH7300-Homewood,12/30/24,0.2,29.3,34.9,96,13.8,32.5
7400-Glenshire,12/30/24,0.6,26.7,36,96,4.9,35.9
MEY3300-Grass Lake Road,12/30/24,0.9,27,40.3,96,11,33.4
WSH201-Floriston,12/30/24,1,29.9,37.3,92,15.7,37.3
Washoe204-Fariad,12/30/24,3.2,31.3,37,94,28.7,38.4
MEY3400-Camp Richardson,12/30/24,1.1,28.4,36.2,96,9.2,35.3
MEY3500-STPD Office,12/30/24,0.4,28.2,37.6,96,13.6,37.4
621Line-I-80 Gravel Pit,12/30/24,0.9,28.9,37.5,95,5.5,36.4
7201-Alpine Meadows,12/30/24,0.4,28.6,35.7,99,21.4,32.6
MUL1296-Markleeville,12/30/24,0.4,30.2,39.8,93,9.7,38.9
TPZ1261-Eastside Lane,12/30/24,5,33.3,39.2,79,6.2,41.6
MEY3300-Tolteca,12/30/24,1.3,29.6,39.4,90,,
TAH-5201 Lake Forest,12/30/24,0.2,28.6,36.7,96,20.6,32.7
Tahoe-7300 Sugar Pine Point,12/30/24,0.5,29.4,35,96,19.2,34.4
SOK-257 Reno Park,12/30/24,3.8,32.5,37.2,91,8.5,38.9
SMP8700-Firecamp,12/30/24,0.3,27.6,36.4,96,,
TAH5201-Fairway,12/30/24,0.5,28.7,35.2,96,,
TPZ1261 Cunningham,12/30/24,2.7,31.8,40.7,86,,
MUL1296-Sorensens,12/30/24,1.4,21.2,31.2,91,,
POR32 4th Avenue,12/30/24,1.1,32.2,39.4,98,27.4,40.2
GLS7600-Walden,12/29/24,2.8,32.4,38.6,97,35.4,32.5
TAH7300-DL Bliss,12/29/24,6.3,35.4,42.6,94,6,32.8
MUL1296-Woodfords,12/29/24,13.2,43.6,51.9,87,2.4,42.3
TPZ1261–Park Ranch,12/29/24,12.3,51,60.4,85,6.6,45.4
POR31-Iron Horse,12/29/24,2.1,38.7,44.2,97,44.5,38.4
619Line-Sierra Valley West,12/29/24,10.2,40.6,45.4,94,,58.9
SQV8200-Squaw Valley,12/29/24,8.9,35.8,40.2,95,35.8,32.4
CEM41-Garbage Pit Rd,12/29/24,10.2,41.1,46.7,90,5.9,42.9
CAL204-Dog Valley,12/29/24,7.5,42.3,48.9,90,17,41.5
TRK7203-Northstar Golf Course,12/29/24,8.2,37.1,43.3,93,40.8,37.9
Hobart Sub,12/29/24,3.4,35.8,41.9,99,21.8,35.8
SRB51-Smithneck Rd,12/29/24,7.5,40.2,46,92,43.2,43.9
Muller1296-Emigrant Trail,12/29/24,19.3,45.6,54,82,14,38.8
STL3101 Ledge Ct.,12/29/24,7.2,34.2,42.8,96,8.3,35.8
TAH7300-Homewood,12/29/24,3.2,36,42.4,93,17.9,32.3
7400-Glenshire,12/29/24,3.5,36.3,43.8,96,5.3,36.6
MEY3300-Grass Lake Road,12/29/24,3.8,35.8,44.9,95,12,34.2
WSH201-Floriston,12/29/24,6,39.5,48.3,90,16.7,39.2
Washoe204-Fariad,12/29/24,13.6,41.1,49.6,87,30.4,40.8
MEY3400-Camp Richardson,12/29/24,9.5,38,44.6,91,10,36.4
MEY3500-STPD Office,12/29/24,3.6,36.9,43.7,96,16.8,37.7
621Line-I-80 Gravel Pit,12/29/24,5.9,36.9,43.5,94,6.1,37.5
7201-Alpine Meadows,12/29/24,3.8,35.1,39.3,97,23.6,32.3
MUL1296-Markleeville,12/29/24,7.6,42.2,47.8,88,11.6,40.9
TPZ1261-Eastside Lane,12/29/24,16.4,47.4,56.6,77,6.1,46.1
MEY3300-Tolteca,12/29/24,6.4,35.4,41.8,90,,
TAH-5201 Lake Forest,12/29/24,2.8,35,39.9,96,22.8,32.7
Tahoe-7300 Sugar Pine Point,12/29/24,2.2,35.1,43,97,21.6,34.1
SOK-257 Reno Park,12/29/24,13.7,40.2,46.6,90,8.6,41.2
SMP8700-Firecamp,12/29/24,2.2,35.8,41.2,96,,
TAH5201-Fairway,12/29/24,4.7,35.4,40.3,96,,
TPZ1261 Cunningham,12/29/24,12.4,48.3,58.5,81,,
MUL1296-Sorensens,12/29/24,3.8,35.3,43.2,91,,
POR32 4th Avenue,12/29/24,2.6,39.3,44.9,96,29.1,42.2
GLS7600-Walden,12/28/24,2.7,39.2,44.5,90,35.1,32.7
TAH7300-DL Bliss,12/28/24,5.1,41.8,45.7,87,6,33.2
MUL1296-Woodfords,12/28/24,12,50.6,55.2,65,2,43.2
TPZ1261–Park Ranch,12/28/24,5.5,56.4,62.3,54,6.6,46.6
Meyers3400-Uplands,12/28/24,9.3,39.7,45.1,95,14,35.4
111Line-Columbine Trail,12/28/24,1.6,39.5,45.1,95,9,33.3
POR31-Iron Horse,12/28/24,3.8,44,48.4,96,42.8,37.8
619Line-Sierra Valley West,12/28/24,7.3,46.2,50.8,85,,58.9
SQV8200-Squaw Valley,12/28/24,12.6,41.1,44.4,89,35.7,32.5
CEM41-Garbage Pit Rd,12/28/24,11.6,48.5,53.8,73,5.2,43.6
CAL204-Dog Valley,12/28/24,13,48.7,53,73,8.6,42.3
TRK7203-Northstar Golf Course,12/28/24,9.8,44.1,48.4,81,38.3,39.4
Hobart Sub,12/28/24,4.5,41.6,45.7,97,20.1,36.1
SRB51-Smithneck Rd,12/28/24,7.5,47.5,52.5,73,34,44.1
TRK7202-Cabin Tree,12/28/24,4.5,40.3,45,96,41.4,33.6
Muller1296-Emigrant Trail,12/28/24,14,52.6,57.4,63,10.9,43.2
STL3101 Ledge Ct.,12/28/24,9.2,41.5,46.3,84,4.7,37.7
TAH7300-Homewood,12/28/24,4.2,41.3,45.2,89,11.7,32.4
7400-Glenshire,12/28/24,3.4,41.4,47.4,97,4.8,37.4
MEY3300-Grass Lake Road,12/28/24,2.5,40.8,46,95,11.2,36.5
WSH201-Floriston,12/28/24,4.3,46,51.7,88,15.1,42.2
Washoe204-Fariad,12/28/24,11.3,47.8,51,81,27.5,41.3
MEY3400-Camp Richardson,12/28/24,4.2,44.5,51.1,88,9.1,36.4
MEY3500-STPD Office,12/28/24,2.9,42.5,47.2,90,10,39.4
621Line-I-80 Gravel Pit,12/28/24,4.8,41.7,46.9,94,5.3,39
7201-Alpine Meadows,12/28/24,5.6,39.8,43.1,95,23.3,32.4
MUL1296-Markleeville,12/28/24,8.6,47.6,53.4,71,8.8,41.8
TPZ1261-Eastside Lane,12/28/24,8.8,53.3,59,54,6,48.8
MEY3300-Tolteca,12/28/24,6.6,39.8,43.6,90,,
TAH-5201 Lake Forest,12/28/24,1,40,44.5,97,22.4,32.9
Tahoe-7300 Sugar Pine Point,12/28/24,1.6,39.9,43.9,95,20.6,35.2
SOK-257 Reno Park,12/28/24,10.8,47.6,54.2,78,8.1,42.3
SMP8700-Firecamp,12/28/24,3.2,42.1,48,94,,
TAH5201-Fairway,12/28/24,2.6,39.8,45.3,96,,
TPZ1261 Cunningham,12/28/24,14.2,54.8,58.6,52,,
MUL1296-Sorensens,12/28/24,4.3,41,76.6,84,,
POR32 4th Avenue,12/28/24,3.1,45,50,89,25.3,43.4
GLS7600-Walden,12/27/24,2.1,37.2,41.9,94,33.8,32.8
TAH7300-DL Bliss,12/27/24,6.1,39.6,42.9,90,5.8,32.8
MUL1296-Woodfords,12/27/24,14.1,48.6,51.9,77,2.2,42.1
TPZ1261–Park Ranch,12/27/24,12.4,55.7,60.2,58,6.4,44.7
Meyers3400-Uplands,12/27/24,13.9,37.6,42.7,100,14.6,34.2
111Line-Columbine Trail,12/27/24,3.7,41.7,44.3,100,9.3,32.7
POR31-Iron Horse,12/27/24,3.6,42,48.6,98,43.7,36.7
619Line-Sierra Valley West,12/27/24,9.1,44.8,50.6,93,,58.9
SQV8200-Squaw Valley,12/27/24,11.7,39.1,42.4,98,35.2,32.3
CEM41-Garbage Pit Rd,12/27/24,12.3,46.5,51.3,78,5.2,42.2
CAL204-Dog Valley,12/27/24,9.2,47.2,52.3,77,8.6,41.2
TRK7203-Northstar Golf Course,12/27/24,6.8,41.6,46.2,88,42.3,37.3
Hobart Sub,12/27/24,3,39.4,45.6,100,20.1,35
SRB51-Smithneck Rd,12/27/24,7.3,45.5,50.9,78,34,43
TRK7202-Cabin Tree,12/27/24,5.1,38.2,43,98,41,33.4
Muller1296-Emigrant Trail,12/27/24,20.4,50.9,58.2,76,13.2,41.7
STL3101 Ledge Ct.,12/27/24,9.4,39.1,43.3,96,8,35.4
TAH7300-Homewood,12/27/24,4.4,39.1,42.9,98,11.6,32.5
7400-Glenshire,12/27/24,3.9,39.5,45.1,95,4.9,36.1
MEY3300-Grass Lake Road,12/27/24,3.4,39.1,46.1,93,12.7,35.4
WSH201-Floriston,12/27/24,6.5,44.2,49.2,90,16.3,41.2
